x,y
6539.366666666667,0.9744
6540.183333333333,0.9632
6541.583333333333,0.9632
6541.7,0.9616
6541.816666666667,0.9616
6541.933333333333,0.96
6542.05,0.96
6542.283333333334,0.9568
6542.4,0.9568
6542.633333333333,0.9536
6542.75,0.9536
6542.75,0.952
6543.1,0.9472
6543.216666666666,0.9472
6543.333333333333,0.9456
6543.333333333333,0.944
6543.683333333333,0.9392
6543.683333333333,0.9376
6543.916666666667,0.9344
6543.916666666667,0.9328
6544.15,0.9296
6544.15,0.928
6544.266666666666,0.9264
6544.266666666666,0.9248
6544.383333333333,0.9232
6544.383333333333,0.9216
6544.5,0.92
6544.5,0.9184
6544.616666666667,0.9168
6544.616666666667,0.9152
6544.733333333334,0.9136
6544.733333333334,0.912
6544.85,0.9104
6544.85,0.9072
6544.966666666666,0.9056
6544.966666666666,0.904
6545.083333333333,0.9024
6545.083333333333,0.8992
6545.2,0.8976
6545.2,0.896
6545.316666666667,0.8944
6545.316666666667,0.8928
6545.433333333333,0.8912
6545.433333333333,0.8864
6545.55,0.8848
6545.55,0.8816
6545.666666666667,0.88
6545.666666666667,0.8752
6545.783333333334,0.8736
6545.783333333334,0.8704
6545.9,0.8688
6545.9,0.8656
6546.016666666666,0.864
6546.016666666666,0.8592
6546.133333333333,0.8576
6546.133333333333,0.8544
6546.25,0.8528
6546.25,0.8464
6546.366666666667,0.8448
6546.366666666667,0.8416
6546.483333333334,0.84
6546.483333333334,0.8336
6546.6,0.832
6546.6,0.8272
6546.716666666666,0.8256
6546.716666666666,0.8192
6546.833333333333,0.8176
6546.833333333333,0.8128
6546.95,0.8112
6546.95,0.8064
6547.066666666667,0.8048
6547.066666666667,0.8
6547.183333333333,0.7984
6547.183333333333,0.7936
6547.3,0.792
6547.3,0.7856
6547.416666666667,0.784
6547.416666666667,0.7792
6547.533333333334,0.7776
6547.533333333334,0.7744
6547.65,0.7728
6547.65,0.7696
6547.766666666666,0.768
6547.766666666666,0.7648
6547.883333333333,0.7632
6547.883333333333,0.7584
6548.0,0.7568
6548.0,0.7536
6548.116666666667,0.752
6548.116666666667,0.7488
6548.233333333334,0.7472
6548.233333333334,0.744
6548.35,0.7424
6548.35,0.7376
6548.466666666666,0.736
6548.466666666666,0.7344
6548.583333333333,0.7328
6548.583333333333,0.7296
6548.7,0.728
6548.7,0.7248
6548.816666666667,0.7232
6548.816666666667,0.72
6548.933333333333,0.7184
6548.933333333333,0.7168
6549.05,0.7152
6549.05,0.7104
6549.166666666667,0.7088
6549.166666666667,0.7056
6549.283333333334,0.704
6549.283333333334,0.7008
6549.4,0.6992
6549.4,0.696
6549.516666666666,0.6944
6549.516666666666,0.6912
6549.633333333333,0.6896
6549.633333333333,0.6864
6549.75,0.6848
6549.75,0.6816
6549.866666666667,0.68
6549.866666666667,0.6768
6549.983333333334,0.6752
6549.983333333334,0.672
6550.1,0.6704
6550.1,0.6672
6550.216666666666,0.6656
6550.216666666666,0.6608
6550.333333333333,0.6592
6550.333333333333,0.656
6550.45,0.6544
6550.45,0.6512
